user_id,timestamp,entry_text,mood_score,emotion,predicted_emotions
u003,2025-08-08 00:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.64,joy,['joy']
u002,2025-08-09 22:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.87,neutral,"['sadness', 'joy']"
u005,2025-08-01 09:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.79,neutral,"['sadness', 'joy']"
u001,2025-08-11 13:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.14,anger,"['sadness', 'joy', 'anger']"
u001,2025-08-10 10:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.23,neutral,"['sadness', 'joy']"
u005,2025-08-04 03:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.73,sadness,"['sadness', 'joy']"
u001,2025-08-08 09:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.9,neutral,"['sadness', 'joy']"
u003,2025-08-07 00:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.8,fear,"['sadness', 'joy', 'fear']"
u002,2025-08-07 21:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.22,neutral,"['sadness', 'joy']"
u001,2025-08-04 03:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.15,joy,['joy']
u001,2025-08-10 07:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.14,sadness,"['sadness', 'joy']"
u003,2025-08-04 01:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.65,neutral,"['sadness', 'joy']"
u001,2025-08-09 01:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.71,anger,"['sadness', 'joy', 'anger']"
u004,2025-08-06 09:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.85,joy,['joy']
u004,2025-08-10 23:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.5,surprise,"['joy', 'surprise']"
u001,2025-08-01 00:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.66,joy,['joy']
u004,2025-08-07 03:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.34,sadness,"['sadness', 'joy']"
u001,2025-08-09 01:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.75,fear,"['sadness', 'joy', 'fear']"
u004,2025-08-01 23:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.93,neutral,"['sadness', 'joy']"
u005,2025-08-04 23:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.15,surprise,"['joy', 'surprise']"
u002,2025-08-06 12:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.16,joy,['joy']
u004,2025-08-06 16:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.71,apathy,"['sadness', 'joy']"
u005,2025-08-09 09:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.21,apathy,"['sadness', 'joy']"
u004,2025-08-13 06:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.42,fear,"['sadness', 'joy', 'fear']"
u005,2025-08-09 04:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.74,joy,['joy']
u002,2025-08-13 09:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.5,surprise,"['joy', 'surprise']"
u003,2025-08-04 22:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.4,fear,"['sadness', 'joy', 'fear']"
u004,2025-08-05 15:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.69,joy,['joy']
u004,2025-08-01 18:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.54,neutral,"['sadness', 'joy']"
u002,2025-08-07 18:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.79,neutral,"['sadness', 'joy']"
u001,2025-08-07 22:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.53,sadness,"['sadness', 'joy']"
u003,2025-08-08 00:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.11,anger,"['sadness', 'joy', 'anger']"
u001,2025-08-02 11:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.28,apathy,"['sadness', 'joy']"
u002,2025-08-07 19:00:00,Today I felt a bit of disgust due to recent events. Reflecting helped me cope better.,0.85,disgust,"['sadness', 'joy', 'anger']"
u005,2025-08-10 19:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.56,fear,"['sadness', 'joy', 'fear']"
u004,2025-08-09 23:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.81,anger,"['sadness', 'joy', 'anger']"
u005,2025-08-09 05:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.43,apathy,"['sadness', 'joy']"
u002,2025-08-02 23:00:00,Today I felt a bit of disgust due to recent events. Reflecting helped me cope better.,0.45,disgust,"['sadness', 'joy', 'anger']"
u004,2025-08-04 03:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.9,fear,"['sadness', 'joy', 'fear']"
u003,2025-08-02 16:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.38,surprise,"['joy', 'surprise']"
u005,2025-08-06 18:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.46,neutral,"['sadness', 'joy']"
u002,2025-08-13 09:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.74,anger,"['sadness', 'joy', 'anger']"
u005,2025-08-10 23:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.86,surprise,"['joy', 'surprise']"
u001,2025-08-12 00:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.49,fear,"['sadness', 'joy', 'fear']"
u001,2025-08-09 21:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.73,fear,"['sadness', 'joy', 'fear']"
u002,2025-08-02 02:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.56,surprise,"['joy', 'surprise']"
u001,2025-08-06 00:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.22,anger,"['sadness', 'joy', 'anger']"
u005,2025-08-09 00:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.87,surprise,"['joy', 'surprise']"
u001,2025-08-08 19:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.41,anger,"['sadness', 'joy', 'anger']"
u002,2025-08-06 09:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.81,neutral,"['sadness', 'joy']"
u004,2025-08-01 10:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.83,joy,['joy']
u004,2025-08-13 12:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.33,sadness,"['sadness', 'joy']"
u005,2025-08-11 14:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.41,joy,['joy']
u001,2025-08-07 19:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.81,neutral,"['sadness', 'joy']"
u004,2025-08-02 06:00:00,Today I felt a bit of disgust due to recent events. Reflecting helped me cope better.,0.78,disgust,"['sadness', 'joy', 'anger']"
u001,2025-08-10 23:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.43,joy,['joy']
u005,2025-08-01 17:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.64,neutral,"['sadness', 'joy']"
u004,2025-08-06 06:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.38,anger,"['sadness', 'joy', 'anger']"
u003,2025-08-06 02:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.8,sadness,"['sadness', 'joy']"
u001,2025-08-05 06:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.57,neutral,"['sadness', 'joy']"
u001,2025-08-07 06:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.75,joy,['joy']
u001,2025-08-01 22:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.53,sadness,"['sadness', 'joy']"
u005,2025-08-08 14:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.25,apathy,"['sadness', 'joy']"
u005,2025-08-11 15:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.72,joy,['joy']
u002,2025-08-09 02:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.25,fear,"['sadness', 'joy', 'fear']"
u005,2025-08-13 11:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.15,surprise,"['joy', 'surprise']"
u002,2025-08-02 11:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.5,surprise,"['joy', 'surprise']"
u001,2025-08-09 21:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.36,fear,"['sadness', 'joy', 'fear']"
u003,2025-08-07 03:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.29,sadness,"['sadness', 'joy']"
u005,2025-08-06 15:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.23,surprise,"['joy', 'surprise']"
u005,2025-08-04 23:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.78,neutral,"['sadness', 'joy']"
u002,2025-08-12 09:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.8,joy,['joy']
u004,2025-08-13 06:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.11,anger,"['sadness', 'joy', 'anger']"
u001,2025-08-12 02:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.28,fear,"['sadness', 'joy', 'fear']"
u001,2025-08-02 04:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.35,sadness,"['sadness', 'joy']"
u001,2025-08-01 18:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.61,anger,"['sadness', 'joy', 'anger']"
u004,2025-08-04 19:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.91,anger,"['sadness', 'joy', 'anger']"
u004,2025-08-08 22:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.92,joy,['joy']
u002,2025-08-13 06:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.29,fear,"['sadness', 'joy', 'fear']"
u003,2025-08-11 16:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.16,apathy,"['sadness', 'joy']"
u001,2025-08-10 03:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.59,fear,"['sadness', 'joy', 'fear']"
u001,2025-08-02 17:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.29,apathy,"['sadness', 'joy']"
u001,2025-08-09 23:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.3,joy,['joy']
u002,2025-08-08 11:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.41,apathy,"['sadness', 'joy']"
u003,2025-08-05 09:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.24,apathy,"['sadness', 'joy']"
u001,2025-08-03 11:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.57,sadness,"['sadness', 'joy']"
u001,2025-08-08 04:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.37,joy,['joy']
u005,2025-08-02 02:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.75,surprise,"['joy', 'surprise']"
u001,2025-08-08 05:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.7,surprise,"['joy', 'surprise']"
u005,2025-08-05 22:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.5,apathy,"['sadness', 'joy']"
u003,2025-08-07 06:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.81,apathy,"['sadness', 'joy']"
u005,2025-08-05 10:00:00,Today I felt a bit of anger due to recent events. Reflecting helped me cope better.,0.76,anger,"['sadness', 'joy', 'anger']"
u001,2025-08-09 06:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.89,neutral,"['sadness', 'joy']"
u003,2025-08-11 21:00:00,Today I felt a bit of joy due to recent events. Reflecting helped me cope better.,0.92,joy,['joy']
u001,2025-08-11 08:00:00,Today I felt a bit of neutral due to recent events. Reflecting helped me cope better.,0.57,neutral,"['sadness', 'joy']"
u004,2025-08-11 03:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.35,fear,"['sadness', 'joy', 'fear']"
u003,2025-08-10 23:00:00,Today I felt a bit of sadness due to recent events. Reflecting helped me cope better.,0.78,sadness,"['sadness', 'joy']"
u003,2025-08-03 13:00:00,Today I felt a bit of fear due to recent events. Reflecting helped me cope better.,0.7,fear,"['sadness', 'joy', 'fear']"
u005,2025-08-10 08:00:00,Today I felt a bit of surprise due to recent events. Reflecting helped me cope better.,0.21,surprise,"['joy', 'surprise']"
u004,2025-08-13 04:00:00,Today I felt a bit of apathy due to recent events. Reflecting helped me cope better.,0.18,apathy,"['sadness', 'joy']"
